ticker,total ESG score,,,,,
NWE,34.6,,,,,
TNXP,34.6,,,,,
SGTX,34.6,,,,,
EME,34.6,,,,,
SWN,34.6,,,,,
MLI,34.6,,,,,
QCRH,34.6,,,,,
AVAV,34.5,,,,,
SKYW,34.5,,,,,
ODC,34.5,,,,,
FBNC,34.5,,,,,
ATRA,34.5,,,,,
TPB,34.5,,,,,
HWKN,34.5,,,,,
GDYN,34.5,,,,,
KOD,34.5,,,,,
XENE,34.5,,,,,
CSTR,34.5,,,,,
NJR,34.5,,,,,
HRTG,34.4,,,,,
VTGN,34.4,,,,,
AXSM,34.4,,,,,
ZNTL,34.4,,,,,
CUE,34.4,,,,,
GNTY,34.4,,,,,
USNA,34.4,,,,,
RRR,34.4,,,,,
ASPN,34.3,,,,,
BWXT,34.3,,,,,
CCBG,34.3,,,,,
NHC,34.3,,,,,
IDT,34.3,,,,,
ALE,34.3,,,,,
NFE,34.3,,,,,
AGLE,34.2,,,,,
ABUS,34.2,,,,,
STBA,34.2,,,,,
SIBN,34.2,,,,,
DIN,34.2,,,,,
PMVP,34.2,,,,,
HBB,34.2,,,,,
HEP,34.2,,,,,
BSIG,34.2,,,,,
FIZZ,34.1,,,,,
NVAX,34.1,,,,,
FRST,34.1,,,,,
LMAT,34.1,,,,,
HA,34.1,,,,,
THS,34.1,,,,,
KRON,34.1,,,,,
WTBA,34.1,,,,,
TXT,34,,,,,
TRGP,34,,,,,
MMM,34,,,,,
PPL,34,,,,,
CAT,34,,,,,
NKLA,34,,,,,
RYTM,34,,,,,
TMP,34,,,,,
NVEC,34,,,,,
MTRX,34,,,,,
COGT,33.9,,,,,
FBK,33.9,,,,,
BKD,33.9,,,,,
ITOS,33.9,,,,,
ALBO,33.9,,,,,
FFWM,33.9,,,,,
FIX,33.9,,,,,
MOFG,33.9,,,,,
SHLS,33.9,,,,,
TCRR,33.9,,,,,
FBMS,33.9,,,,,
TMST,33.9,,,,,
GHL,33.8,,,,,
TTI,33.8,,,,,
OLMA,33.8,,,,,
SFT,33.8,,,,,
MLR,33.7,,,,,
BFC,33.7,,,,,
FREQ,33.7,,,,,
UVSP,33.7,,,,,
EBTC,33.6,,,,,
SMMF,33.6,,,,,
STRO,33.6,,,,,
FULC,33.6,,,,,
CZNC,33.6,,,,,
CWT,33.5,,,,,
MUR,33.5,,,,,
EBC,33.5,,,,,
AMTB,33.5,,,,,
PLYA,33.5,,,,,
GTE,33.5,,,,,
FUL,33.5,,,,,
RBB,33.5,,,,,
OOMA,33.4,,,,,
GNLN,33.4,,,,,
PGEN,33.4,,,,,
MDXG,33.4,,,,,
NVCR,33.4,,,,,
ITCI,33.4,,,,,
GO,33.4,,,,,
KRYS,33.4,,,,,
HAFC,33.4,,,,,
BEAM,33.3,,,,,
SYBT,33.3,,,,,
NRIX,33.3,,,,,
CDMO,33.3,,,,,
UBSI,33.3,,,,,
RAPT,33.2,,,,,
PRAX,33.2,,,,,
INZY,33.2,,,,,
AVRO,33.2,,,,,
BGCP,33.2,,,,,
SPFI,33.2,,,,,
MSEX,33.2,,,,,
TCMD,33.1,,,,,
CYH,33.1,,,,,
PEBO,33.1,,,,,
MGPI,33.1,,,,,
APYX,33.1,,,,,
INSP,33.1,,,,,
OII,33.1,,,,,
NOV,33,,,,,
RRC,33,,,,,
BHC,33,,,,,
FMC,33,,,,,
FB,33,,,,,
CAG,33,,,,,
DCI,33,,,,,
COTY,33,,,,,
NWBI,33,,,,,
GVA,33,,,,,
MWA,33,,,,,
REPL,33,,,,,
CBNK,33,,,,,
SAFT,33,,,,,
GTLS,33,,,,,
ALGS,33,,,,,
TARS,33,,,,,
ACAD,33,,,,,
RICK,33,,,,,
PASG,32.9,,,,,
GBIO,32.9,,,,,
ALLO,32.9,,,,,
ALDX,32.9,,,,,
WNC,32.9,,,,,
SHEN,32.9,,,,,
SRPT,32.9,,,,,
CELC,32.8,,,,,
VICR,32.8,,,,,
ACET,32.8,,,,,
GSAT,32.8,,,,,
MASI,32.8,,,,,
VIRX,32.8,,,,,
IMXI,32.8,,,,,
IBIO,32.8,,,,,
POWL,32.7,,,,,
SURF,32.7,,,,,
PGC,32.7,,,,,
EAR,32.7,,,,,
SESN,32.7,,,,,
HTBK,32.7,,,,,
PBFS,32.6,,,,,
VTDRF,32.6,,,,,
BRP,32.6,,,,,
IOVA,32.6,,,,,
SCU,32.6,,,,,
AMOT,32.5,,,,,
AORT,32.5,,,,,
KOP,32.5,,,,,
GRWG,32.5,,,,,
ATEC,32.4,,,,,
KRUS,32.4,,,,,
SAGE,32.4,,,,,
AERI,32.4,,,,,
VCYT,32.4,,,,,
GERN,32.4,,,,,
MCBS,32.4,,,,,
WABC,32.4,,,,,
POWI,32.4,,,,,
TGI,32.4,,,,,
TRN,32.3,,,,,
HRTX,32.3,,,,,
CBTX,32.3,,,,,
QS,32.3,,,,,
IMKTA,32.2,,,,,
MIRM,32.2,,,,,
CDE,32.2,,,,,
AXNX,32.2,,,,,
NWN,32.2,,,,,
AROC,32.2,,,,,
IRTC,32.2,,,,,
PRIM,32.2,,,,,
ITIC,32.2,,,,,
PATK,32.1,,,,,
AMNB,32.1,,,,,
LOCO,32.1,,,,,
XXII,32.1,,,,,
KOS,32.1,,,,,
ARWR,32.1,,,,,
SHC,32.1,,,,,
LMND,32.1,,,,,
FLL,32.1,,,,,
AMRK,32.1,,,,,
XBIT,32.1,,,,,
KNTE,32.1,,,,,
NUE,32,,,,,
SCCO,32,,,,,
OGE,32,,,,,
HES,32,,,,,
MLM,32,,,,,
FCX,32,,,,,
WLK,32,,,,,
SPR,32,,,,,
STLD,32,,,,,
LUV,32,,,,,
LLY,32,,,,,
GGG,32,,,,,
NRG,32,,,,,
GSBC,32,,,,,
BMRC,32,,,,,
FGEN,32,,,,,
KRNY,32,,,,,
FDBC,32,,,,,
WKHS,32,,,,,
FOCS,32,,,,,
AROW,32,,,,,
PRA,32,,,,,
PJT,32,,,,,
WIRE,31.9,,,,,
SPNE,31.9,,,,,
ITGR,31.9,,,,,
KPTI,31.9,,,,,
ATEX,31.9,,,,,
ABCL,31.9,,,,,
